data_referencia,torre,apartamento,consumo_m3,valor_conta
2022-01,A,1,8.92,46.22
2022-02,A,1,8.95,46.32
2022-03,A,1,4.25,29.88
2022-04,A,1,8.1,43.35
2022-05,A,1,5.65,34.78
2022-06,A,1,6.95,39.33
2022-07,A,1,5.53,34.36
2022-08,A,1,5.77,35.2
2022-09,A,1,6.68,38.38
2022-10,A,1,5.11,32.89
2022-11,A,1,7.8,42.3
2022-12,A,1,4.11,29.39
2023-01,A,1,7.66,41.81
2023-02,A,1,5.38,33.83
2023-03,A,1,4.57,31.0
2023-04,A,1,7.22,40.27
2023-05,A,1,6.03,36.11
2023-06,A,1,4.61,31.14
2023-07,A,1,8.2,43.7
2023-08,A,1,5.21,33.23
2023-09,A,1,7.46,41.11
2023-10,A,1,4.2,29.7
2023-11,A,1,6.57,38.0
2023-12,A,1,5.69,34.92
2024-01,A,1,6.39,37.36
2024-02,A,1,6.49,37.72
2024-03,A,1,8.01,43.03
2024-04,A,1,7.68,41.88
2024-05,A,1,4.09,29.31
2024-06,A,1,6.77,38.7
2024-07,A,1,8.95,46.32
2024-08,A,1,4.47,30.64
2024-09,A,1,7.31,40.58
2024-10,A,1,7.04,39.64
2024-11,A,1,4.88,32.08
2024-12,A,1,4.86,32.01
2022-01,A,2,5.27,33.45
2022-02,A,2,5.68,34.88
2022-03,A,2,7.21,40.23
2022-04,A,2,6.15,36.53
2022-05,A,2,5.09,32.81
2022-06,A,2,6.9,39.15
2022-07,A,2,7.99,42.97
2022-08,A,2,5.28,33.48
2022-09,A,2,7.1,39.85
2022-10,A,2,6.28,36.98
2022-11,A,2,5.37,33.8
2022-12,A,2,6.01,36.03
2023-01,A,2,6.5,37.75
2023-02,A,2,7.95,42.83
2023-03,A,2,7.45,41.08
2023-04,A,2,8.86,46.01
2023-05,A,2,8.09,43.31
2023-06,A,2,3.97,28.9
2023-07,A,2,4.51,30.79
2023-08,A,2,8.15,43.53
2023-09,A,2,4.61,31.14
2023-10,A,2,7.82,42.37
2023-11,A,2,7.49,41.22
2023-12,A,2,4.46,30.61
2024-01,A,2,8.54,44.89
2024-02,A,2,7.09,39.81
2024-03,A,2,8.55,44.93
2024-04,A,2,5.53,34.36
2024-05,A,2,4.44,30.54
2024-06,A,2,4.74,31.59
2024-07,A,2,8.48,44.68
2024-08,A,2,4.42,30.47
2024-09,A,2,4.86,32.01
2024-10,A,2,9.3,47.55
2024-11,A,2,8.87,46.05
2024-12,A,2,8.24,43.84
2022-01,A,3,13.14,65.7
2022-02,A,3,11.72,58.6
2022-03,A,3,12.37,61.85
2022-04,A,3,9.42,47.97
2022-05,A,3,10.52,52.6
2022-06,A,3,10.66,53.3
2022-07,A,3,14.72,73.6
2022-08,A,3,13.91,69.55
2022-09,A,3,9.75,49.12
2022-10,A,3,9.01,46.53
2022-11,A,3,11.87,59.35
2022-12,A,3,10.39,51.95
2023-01,A,3,10.75,53.75
2023-02,A,3,11.45,57.25
2023-03,A,3,11.95,59.75
2023-04,A,3,11.37,56.85
2023-05,A,3,12.39,61.95
2023-06,A,3,15.57,77.85
2023-07,A,3,16.8,84.0
2023-08,A,3,10.37,51.85
2023-09,A,3,11.66,58.3
2023-10,A,3,11.61,58.05
2023-11,A,3,14.69,73.45
2023-12,A,3,9.05,46.68
2024-01,A,3,14.5,72.5
2024-02,A,3,11.28,56.4
2024-03,A,3,13.9,69.5
2024-04,A,3,15.31,76.55
2024-05,A,3,10.97,54.85
2024-06,A,3,11.61,58.05
2024-07,A,3,17.9,89.5
2024-08,A,3,11.51,57.55
2024-09,A,3,13.78,68.9
2024-10,A,3,10.45,52.25
2024-11,A,3,14.62,73.1
2024-12,A,3,13.09,65.45
2022-01,A,4,7.38,40.83
2022-02,A,4,7.45,41.08
2022-03,A,4,4.28,29.98
2022-04,A,4,5.21,33.23
2022-05,A,4,8.48,44.68
2022-06,A,4,9.15,47.02
2022-07,A,4,8.91,46.19
2022-08,A,4,5.32,33.62
2022-09,A,4,6.04,36.14
2022-10,A,4,6.17,36.59
2022-11,A,4,8.27,43.95
2022-12,A,4,4.33,30.16
2023-01,A,4,4.33,30.16
2023-02,A,4,3.85,28.48
2023-03,A,4,5.56,34.46
2023-04,A,4,4.13,29.45
2023-05,A,4,5.08,32.78
2023-06,A,4,5.31,33.58
2023-07,A,4,5.2,33.2
2023-08,A,4,4.72,31.52
2023-09,A,4,4.85,31.97
2023-10,A,4,8.17,43.59
2023-11,A,4,6.65,38.28
2023-12,A,4,5.59,34.56
2024-01,A,4,8.13,43.45
2024-02,A,4,7.9,42.65
2024-03,A,4,8.17,43.59
2024-04,A,4,5.9,35.65
2024-05,A,4,8.49,44.72
2024-06,A,4,8.18,43.63
2024-07,A,4,4.02,29.07
2024-08,A,4,8.45,44.57
2024-09,A,4,4.46,30.61
2024-10,A,4,5.52,34.32
2024-11,A,4,7.14,39.99
2024-12,A,4,5.85,35.47
2022-01,A,5,15.03,75.15
2022-02,A,5,19.93,99.65
2022-03,A,5,20.32,102.4
2022-04,A,5,19.75,98.75
2022-05,A,5,22.22,116.65
2022-06,A,5,17.87,89.35
2022-07,A,5,29.81,173.57
2022-08,A,5,15.34,76.7
2022-09,A,5,18.12,90.6
2022-10,A,5,17.49,87.45
2022-11,A,5,20.63,104.72
2022-12,A,5,21.45,110.88
2023-01,A,5,21.78,113.35
2023-02,A,5,24.48,133.6
2023-03,A,5,20.59,104.42
2023-04,A,5,21.25,109.38
2023-05,A,5,18.76,93.8
2023-06,A,5,21.97,114.77
2023-07,A,5,27.27,154.53
2023-08,A,5,21.87,114.03
2023-09,A,5,23.65,127.37
2023-10,A,5,22.82,121.15
2023-11,A,5,17.06,85.3
2023-12,A,5,21.81,113.57
2024-01,A,5,22.69,120.18
2024-02,A,5,16.57,82.85
2024-03,A,5,23.74,128.05
2024-04,A,5,21.47,111.02
2024-05,A,5,18.8,94.0
2024-06,A,5,17.3,86.5
2024-07,A,5,19.37,96.85
2024-08,A,5,21.45,110.88
2024-09,A,5,25.53,141.48
2024-10,A,5,21.92,114.4
2024-11,A,5,18.9,94.5
2024-12,A,5,22.69,120.18
2022-01,A,6,14.95,74.75
2022-02,A,6,14.5,72.5
2022-03,A,6,13.11,65.55
2022-04,A,6,11.02,55.1
2022-05,A,6,9.69,48.91
2022-06,A,6,14.26,71.3
2022-07,A,6,12.21,61.05
2022-08,A,6,12.46,62.3
2022-09,A,6,10.04,50.2
2022-10,A,6,9.08,46.78
2022-11,A,6,14.67,73.35
2022-12,A,6,14.65,73.25
2023-01,A,6,12.96,64.8
2023-02,A,6,9.13,46.95
2023-03,A,6,13.52,67.6
2023-04,A,6,9.06,46.71
2023-05,A,6,13.64,68.2
2023-06,A,6,9.73,49.05
2023-07,A,6,11.73,58.65
2023-08,A,6,11.24,56.2
2023-09,A,6,11.67,58.35
2023-10,A,6,10.83,54.15
2023-11,A,6,14.87,74.35
2023-12,A,6,14.9,74.5
2024-01,A,6,11.44,57.2
2024-02,A,6,12.84,64.2
2024-03,A,6,11.31,56.55
2024-04,A,6,12.0,60.0
2024-05,A,6,12.39,61.95
2024-06,A,6,12.99,64.95
2024-07,A,6,14.11,70.55
2024-08,A,6,14.15,70.75
2024-09,A,6,10.3,51.5
2024-10,A,6,11.34,56.7
2024-11,A,6,12.88,64.4
2024-12,A,6,12.91,64.55
2022-01,A,7,19.86,99.3
2022-02,A,7,20.26,101.95
2022-03,A,7,23.77,128.28
2022-04,A,7,18.24,91.2
2022-05,A,7,18.92,94.6
2022-06,A,7,23.83,128.72
2022-07,A,7,26.03,145.23
2022-08,A,7,17.06,85.3
2022-09,A,7,22.51,118.83
2022-10,A,7,18.56,92.8
2022-11,A,7,20.01,100.08
2022-12,A,7,19.08,95.4
2023-01,A,7,23.42,125.65
2023-02,A,7,16.65,83.25
2023-03,A,7,21.9,114.25
2023-04,A,7,16.89,84.45
2023-05,A,7,18.03,90.15
2023-06,A,7,21.59,111.92
2023-07,A,7,25.4,140.5
2023-08,A,7,22.74,120.55
2023-09,A,7,18.6,93.0
2023-10,A,7,21.55,111.62
2023-11,A,7,23.38,125.35
2023-12,A,7,20.33,102.47
2024-01,A,7,16.15,80.75
2024-02,A,7,16.59,82.95
2024-03,A,7,19.93,99.65
2024-04,A,7,22.25,116.88
2024-05,A,7,23.96,129.7
2024-06,A,7,15.83,79.15
2024-07,A,7,22.27,117.03
2024-08,A,7,20.36,102.7
2024-09,A,7,24.03,130.23
2024-10,A,7,18.1,90.5
2024-11,A,7,18.02,90.1
2024-12,A,7,23.07,123.03
2022-01,A,8,14.36,71.8
2022-02,A,8,13.57,67.85
2022-03,A,8,10.64,53.2
2022-04,A,8,12.64,63.2
2022-05,A,8,10.94,54.7
2022-06,A,8,9.19,47.16
2022-07,A,8,13.38,66.9
2022-08,A,8,12.03,60.15
2022-09,A,8,12.56,62.8
2022-10,A,8,14.09,70.45
2022-11,A,8,14.07,70.35
2022-12,A,8,14.71,73.55
2023-01,A,8,10.78,53.9
2023-02,A,8,9.74,49.09
2023-03,A,8,14.5,72.5
2023-04,A,8,10.41,52.05
2023-05,A,8,12.05,60.25
2023-06,A,8,9.11,46.88
2023-07,A,8,16.52,82.6
2023-08,A,8,10.66,53.3
2023-09,A,8,13.14,65.7
2023-10,A,8,12.95,64.75
2023-11,A,8,14.08,70.4
2023-12,A,8,14.16,70.8
2024-01,A,8,9.87,49.54
2024-02,A,8,12.78,63.9
2024-03,A,8,13.01,65.05
2024-04,A,8,12.52,62.6
2024-05,A,8,8.97,46.4
2024-06,A,8,12.49,62.45
2024-07,A,8,15.1,75.5
2024-08,A,8,13.29,66.45
2024-09,A,8,12.9,64.5
2024-10,A,8,11.85,59.25
2024-11,A,8,11.81,59.05
2024-12,A,8,13.59,67.95
2022-01,A,9,15.16,75.8
2022-02,A,9,9.99,49.97
2022-03,A,9,12.93,64.65
2022-04,A,9,10.44,52.2
2022-05,A,9,14.41,72.05
2022-06,A,9,12.66,63.3
2022-07,A,9,17.0,85.0
2022-08,A,9,13.74,68.7
2022-09,A,9,14.07,70.35
2022-10,A,9,11.38,56.9
2022-11,A,9,10.79,53.95
2022-12,A,9,11.11,55.55
2023-01,A,9,12.27,61.35
2023-02,A,9,11.09,55.45
2023-03,A,9,13.14,65.7
2023-04,A,9,12.01,60.05
2023-05,A,9,12.82,64.1
2023-06,A,9,12.32,61.6
2023-07,A,9,13.61,68.05
2023-08,A,9,10.27,51.35
2023-09,A,9,10.55,52.75
2023-10,A,9,10.58,52.9
2023-11,A,9,11.44,57.2
2023-12,A,9,13.37,66.85
2024-01,A,9,10.76,53.8
2024-02,A,9,13.51,67.55
2024-03,A,9,13.27,66.35
2024-04,A,9,11.42,57.1
2024-05,A,9,9.65,48.77
2024-06,A,9,10.29,51.45
2024-07,A,9,18.15,90.75
2024-08,A,9,9.49,48.22
2024-09,A,9,13.71,68.55
2024-10,A,9,12.2,61.0
2024-11,A,9,13.68,68.4
2024-12,A,9,13.34,66.7
2022-01,A,10,23.63,127.22
2022-02,A,10,15.39,76.95
2022-03,A,10,20.97,107.27
2022-04,A,10,18.96,94.8
2022-05,A,10,15.89,79.45
2022-06,A,10,23.48,126.1
2022-07,A,10,30.38,177.85
2022-08,A,10,25.43,140.72
2022-09,A,10,16.97,84.85
2022-10,A,10,21.74,113.05
2022-11,A,10,16.52,82.6
2022-12,A,10,21.88,114.1
2023-01,A,10,24.8,136.0
2023-02,A,10,24.27,132.03
2023-03,A,10,18.81,94.05
2023-04,A,10,19.21,96.05
2023-05,A,10,18.59,92.95
2023-06,A,10,16.46,82.3
2023-07,A,10,19.8,99.0
2023-08,A,10,19.41,97.05
2023-09,A,10,18.14,90.7
2023-10,A,10,21.99,114.92
2023-11,A,10,22.86,121.45
2023-12,A,10,18.61,93.05
2024-01,A,10,19.42,97.1
2024-02,A,10,17.07,85.35
2024-03,A,10,18.69,93.45
2024-04,A,10,25.45,140.88
2024-05,A,10,18.1,90.5
2024-06,A,10,17.19,85.95
2024-07,A,10,19.58,97.9
2024-08,A,10,22.76,120.7
2024-09,A,10,20.92,106.9
2024-10,A,10,20.0,100.0
2024-11,A,10,19.96,99.8
2024-12,A,10,22.47,118.52
2022-01,A,11,5.91,35.69
2022-02,A,11,4.38,30.33
2022-03,A,11,7.06,39.71
2022-04,A,11,6.86,39.01
2022-05,A,11,8.39,44.37
2022-06,A,11,4.49,30.71
2022-07,A,11,5.56,34.46
2022-08,A,11,4.62,31.17
2022-09,A,11,8.16,43.56
2022-10,A,11,7.81,42.33
2022-11,A,11,6.75,38.62
2022-12,A,11,5.5,34.25
2023-01,A,11,8.21,43.73
2023-02,A,11,4.9,32.15
2023-03,A,11,4.33,30.16
2023-04,A,11,4.98,32.43
2023-05,A,11,6.72,38.52
2023-06,A,11,4.3,30.05
2023-07,A,11,6.24,36.84
2023-08,A,11,7.58,41.53
2023-09,A,11,8.37,44.3
2023-10,A,11,5.32,33.62
2023-11,A,11,6.08,36.28
2023-12,A,11,7.37,40.8
2024-01,A,11,4.29,30.02
2024-02,A,11,6.84,38.94
2024-03,A,11,5.66,34.81
2024-04,A,11,7.34,40.69
2024-05,A,11,7.98,42.93
2024-06,A,11,5.17,33.09
2024-07,A,11,4.36,30.26
2024-08,A,11,7.45,41.08
2024-09,A,11,4.48,30.68
2024-10,A,11,6.23,36.8
2024-11,A,11,4.52,30.82
2024-12,A,11,7.49,41.22
2022-01,A,12,5.69,34.92
2022-02,A,12,5.5,34.25
2022-03,A,12,6.51,37.78
2022-04,A,12,6.48,37.68
2022-05,A,12,4.97,32.39
2022-06,A,12,6.01,36.03
2022-07,A,12,6.82,38.87
2022-08,A,12,5.9,35.65
2022-09,A,12,5.23,33.3
2022-10,A,12,7.97,42.89
2022-11,A,12,4.63,31.2
2022-12,A,12,5.55,34.42
2023-01,A,12,5.2,33.2
2023-02,A,12,6.65,38.28
2023-03,A,12,4.8,31.8
2023-04,A,12,7.19,40.17
2023-05,A,12,5.37,33.8
2023-06,A,12,8.57,45.0
2023-07,A,12,5.9,35.65
2023-08,A,12,7.63,41.7
2023-09,A,12,7.47,41.14
2023-10,A,12,4.46,30.61
2023-11,A,12,9.05,46.68
2023-12,A,12,7.4,40.9
2024-01,A,12,5.71,34.98
2024-02,A,12,7.09,39.81
2024-03,A,12,8.47,44.65
2024-04,A,12,4.94,32.29
2024-05,A,12,5.3,33.55
2024-06,A,12,7.55,41.42
2024-07,A,12,4.48,30.68
2024-08,A,12,3.85,28.48
2024-09,A,12,8.9,46.15
2024-10,A,12,8.26,43.91
2024-11,A,12,7.03,39.61
2024-12,A,12,7.78,42.23
2022-01,A,13,10.13,50.65
2022-02,A,13,10.99,54.95
2022-03,A,13,9.59,48.56
2022-04,A,13,9.97,49.9
2022-05,A,13,10.28,51.4
2022-06,A,13,9.39,47.87
2022-07,A,13,15.46,77.3
2022-08,A,13,12.45,62.25
2022-09,A,13,10.04,50.2
2022-10,A,13,14.02,70.1
2022-11,A,13,13.68,68.4
2022-12,A,13,13.92,69.6
2023-01,A,13,14.46,72.3
2023-02,A,13,10.47,52.35
2023-03,A,13,8.94,46.29
2023-04,A,13,11.23,56.15
2023-05,A,13,10.54,52.7
2023-06,A,13,11.34,56.7
2023-07,A,13,12.49,62.45
2023-08,A,13,13.59,67.95
2023-09,A,13,15.0,75.0
2023-10,A,13,10.55,52.75
2023-11,A,13,11.36,56.8
2023-12,A,13,14.42,72.1
2024-01,A,13,10.57,52.85
2024-02,A,13,10.71,53.55
2024-03,A,13,10.76,53.8
2024-04,A,13,9.87,49.54
2024-05,A,13,12.38,61.9
2024-06,A,13,14.76,73.8
2024-07,A,13,12.98,64.9
2024-08,A,13,14.58,72.9
2024-09,A,13,11.68,58.4
2024-10,A,13,9.43,48.0
2024-11,A,13,12.43,62.15
2024-12,A,13,14.24,71.2
2022-01,A,14,4.3,30.05
2022-02,A,14,7.84,42.44
2022-03,A,14,4.18,29.63
2022-04,A,14,6.67,38.34
2022-05,A,14,4.23,29.8
2022-06,A,14,6.33,37.16
2022-07,A,14,7.28,40.48
2022-08,A,14,7.29,40.52
2022-09,A,14,5.06,32.71
2022-10,A,14,7.55,41.42
2022-11,A,14,6.05,36.17
2022-12,A,14,8.5,44.75
2023-01,A,14,6.57,38.0
2023-02,A,14,5.2,33.2
2023-03,A,14,6.18,36.63
2023-04,A,14,7.84,42.44
2023-05,A,14,7.34,40.69
2023-06,A,14,8.07,43.25
2023-07,A,14,5.69,34.92
2023-08,A,14,5.37,33.8
2023-09,A,14,5.67,34.84
2023-10,A,14,7.47,41.14
2023-11,A,14,8.96,46.36
2023-12,A,14,7.8,42.3
2024-01,A,14,8.26,43.91
2024-02,A,14,5.49,34.22
2024-03,A,14,5.11,32.89
2024-04,A,14,4.79,31.77
2024-05,A,14,4.2,29.7
2024-06,A,14,6.08,36.28
2024-07,A,14,5.17,33.09
2024-08,A,14,5.91,35.69
2024-09,A,14,8.7,45.45
2024-10,A,14,6.32,37.12
2024-11,A,14,6.27,36.95
2024-12,A,14,6.07,36.25
2022-01,A,15,4.7,31.45
2022-02,A,15,6.43,37.5
2022-03,A,15,6.84,38.94
2022-04,A,15,5.29,33.52
2022-05,A,15,4.56,30.96
2022-06,A,15,6.0,36.0
2022-07,A,15,5.47,34.14
2022-08,A,15,8.83,45.91
2022-09,A,15,5.5,34.25
2022-10,A,15,8.04,43.14
2022-11,A,15,7.26,40.41
2022-12,A,15,4.83,31.91
2023-01,A,15,7.36,40.76
2023-02,A,15,8.36,44.26
2023-03,A,15,7.0,39.5
2023-04,A,15,9.05,46.68
2023-05,A,15,5.49,34.22
2023-06,A,15,5.61,34.64
2023-07,A,15,9.1,46.85
2023-08,A,15,6.13,36.45
2023-09,A,15,4.95,32.33
2023-10,A,15,5.4,33.9
2023-11,A,15,6.15,36.53
2023-12,A,15,8.77,45.7
2024-01,A,15,6.27,36.95
2024-02,A,15,4.66,31.31
2024-03,A,15,7.23,40.3
2024-04,A,15,7.02,39.57
2024-05,A,15,7.06,39.71
2024-06,A,15,4.66,31.31
2024-07,A,15,6.99,39.47
2024-08,A,15,8.55,44.93
2024-09,A,15,5.17,33.09
2024-10,A,15,8.18,43.63
2024-11,A,15,6.47,37.64
2024-12,A,15,7.57,41.5
2022-01,A,16,15.03,75.15
2022-02,A,16,12.98,64.9
2022-03,A,16,8.86,46.01
2022-04,A,16,11.87,59.35
2022-05,A,16,10.86,54.3
2022-06,A,16,12.83,64.15
2022-07,A,16,16.31,81.55
2022-08,A,16,9.87,49.54
2022-09,A,16,10.14,50.7
2022-10,A,16,15.16,75.8
2022-11,A,16,14.71,73.55
2022-12,A,16,12.88,64.4
2023-01,A,16,13.33,66.65
2023-02,A,16,9.65,48.77
2023-03,A,16,10.06,50.3
2023-04,A,16,8.77,45.7
2023-05,A,16,14.33,71.65
2023-06,A,16,12.71,63.55
2023-07,A,16,14.88,74.4
2023-08,A,16,12.36,61.8
2023-09,A,16,10.1,50.5
2023-10,A,16,11.63,58.15
2023-11,A,16,13.49,67.45
2023-12,A,16,9.57,48.5
2024-01,A,16,9.89,49.62
2024-02,A,16,11.47,57.35
2024-03,A,16,10.86,54.3
2024-04,A,16,11.34,56.7
2024-05,A,16,9.52,48.32
2024-06,A,16,11.35,56.75
2024-07,A,16,15.84,79.2
2024-08,A,16,12.87,64.35
2024-09,A,16,14.5,72.5
2024-10,A,16,12.06,60.3
2024-11,A,16,10.58,52.9
2024-12,A,16,12.57,62.85
2022-01,A,17,8.74,45.59
2022-02,A,17,8.51,44.78
2022-03,A,17,8.41,44.44
2022-04,A,17,6.96,39.36
2022-05,A,17,5.37,33.8
2022-06,A,17,8.45,44.57
2022-07,A,17,4.71,31.48
2022-08,A,17,9.08,46.78
2022-09,A,17,8.28,43.98
2022-10,A,17,8.52,44.82
2022-11,A,17,6.7,38.45
2022-12,A,17,9.4,47.9
2023-01,A,17,8.0,43.0
2023-02,A,17,7.4,40.9
2023-03,A,17,8.08,43.28
2023-04,A,17,4.22,29.77
2023-05,A,17,9.11,46.88
